energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
276.0,0.5,0.5,0.0024354243542435,0.015095095095095,13.6,12.1,0.0,0.5,0.01,0.0039370078740157,0.0001641809361702,0.0314974358974359,0.1269604316546762,0.00636875,-3.0,3021760403921,4
280.0,0.5,0.5,0.002440036900369,0.015085085085085,14.1,13.2,0.0,0.5,0.01,0.0039370078740157,0.0001641930212765,0.0314373931623931,0.1269928057553956,0.0063828125,-3.0,3021760403945,4
265.0,0.6,0.5,0.0024492619926199,0.015065065065065,12.8,11.6,0.0,0.5,0.01,0.0039370078740157,0.0001642171914893,0.0313173076923076,0.1270575539568345,0.0064109375,-3.0,3021760885468,4
284.0,0.6,0.5,0.0024538745387453,0.015055055055055,14.0,12.9,0.0,0.5,0.01,0.0039370078740157,0.0001642292765957,0.0312572649572649,0.1270899280575539,0.006425,-3.0,3021760885635,4
264.0,0.6,0.5,0.0024630996309963,0.015035035035035,12.8,11.6,0.5333333333333333,0.5,0.01,0.0039370078740157,0.0001642534468085,0.0311371794871794,0.1271546762589928,0.006453125,-3.0,3021761201601,4
255.0,0.6,0.5,0.0024677121771217,0.015025025025025,12.8,11.6,1.0666666666666669,0.5,0.01,0.0039370078740157,0.0001642655319148,0.0310771367521367,0.1271870503597122,0.0064671875,-3.0,3021761201618,4
279.0,0.5,0.2,0.0024723247232472,0.015015015015015,14.2,12.5,1.6,0.4,0.00762,0.003,0.0001642776170212,0.031017094017094,0.1272194244604316,0.00648125,-5.0,3021761202851,4
271.0,0.7,0.5,0.0024861623616236,0.0149849849849849,12.9,11.8,1.38,0.5,0.01,0.0039370078740157,0.0001643138723404,0.0308369658119658,0.1273165467625899,0.0065234375,-3.0,3021761202974,4
278.0,0.6,0.5,0.002490774907749,0.0149749749749749,13.5,12.2,1.42,0.5,0.01,0.0039370078740157,0.0001643259574468,0.030776923076923,0.1273489208633093,0.0065375,-3.0,3021761202981,4
274.0,0.7,0.5,0.0024953874538745,0.0149649649649649,12.7,11.6,1.46,0.5,0.01,0.0039370078740157,0.0001643380425531,0.0307168803418803,0.1273812949640287,0.0065515625,-3.0,3021761202998,4
302.0,0.5,0.2,0.0025,0.0149549549549549,15.7,14.3,1.5,0.4,0.00762,0.003,0.0001643501276595,0.0306568376068376,0.1274136690647482,0.006565625,-4.0,3021761203131,4
294.0,0.5,0.2,0.0025046125461254,0.0149449449449449,15.1,13.7,1.3,0.5,0.00762,0.003,0.0001643622127659,0.0305967948717948,0.1274460431654676,0.0065796875,-3.0,3021761203148,4
